Player -35.6913 1 1.36656
Objective 23.4727 1 5.54662
Wall -1.92926 5 -22.91 0.707107
Wall -25.7235 5 1.20579 0.707107
Wall 22.0257 5 0.24116 0.707107
Wall -1.1254 5 -26.2862 0
Wall -18.0064 5 -2.17042 0.707107
Wall -1.1254 5 -26.2862 0
Wall -18.0064 5 -2.17042 0.707107
Wall -1.1254 5 -26.2862 0
Wall -18.0064 5 -2.17042 0.707107
Wall 40.5145 5 2.33119 0
Wall 1.28617 5 -28.2154 0
Wall -38.746 5 -22.2669 0
Wall 3.37621 5 -21.9453 0
Wall -16.5595 5 -19.6945 0
Wall 3.37621 5 -21.9453 0
Wall -16.5595 5 -19.6945 0
Wall 33.7621 5 2.49196 0
Wall -23.6334 5 -22.2669 0
Wall -2.57235 5 -21.1415 0
Wall 18.9711 5 -23.2315 0
Wall 33.7621 5 2.49196 0
Wall -23.6334 5 -22.2669 0
Wall -2.57235 5 -21.1415 0
Wall 18.9711 5 -23.2315 0
Wall 30.8682 5 -40.2733 0
Wall -26.2058 5 11.8167 0
Wall -5.62701 5 28.3762 0
Wall 31.672 5 6.99357 0.707107
